year,month,date,district,period,location,count,caseNo,content,source
113,11,113/11/05,三重區,未註明,三重區 位處三重區中正南路 / 鄰近堤防加上道路,1,J241105-4431,位處三重區中正南路246號，鄰近堤防加上道路筆直，汽機車車速飛快，加速所發出的尖銳或轟隆隆的排氣管噪音，十分擾人，懇請市府加強噪音車管制及取締，,1999市政信箱
113,11,113/11/05,新店區,夜間,新店區 在新店區安康路一段,1,H241105-2069,民眾11/2 凌晨00:00左右，在新店區安康路一段32號，看見有多台改裝車(約10來台)，由於有排氣管噪音及未裝設防燙蓋，由於改裝車噪音擾鄰，民眾便以簡訊報案，由於仍未見員警到場，故再撥打110反映，110勤務指揮中心人員告知，員警正在前往現場，員警約於01:00到場，但改裝車輛早已離開，故請單位能提高出勤效率，並希望能補足警力。,1999市政信箱
113,11,113/11/05,中和區,夜間,中和區 興南路二段34巷 / 噪音車輛都會在興南華新路,1,J241105-4021,你好，不知環保局架設儀器拍攝噪音車輛舉發件數，興南路二段34巷口架設警示標語如同虛設，唯一一次看到架設機器在鑫北一游泳池，假如有真的舉發，噪音車輛不會一天比一天多，現在平假日23到隔日3時，噪音車輛都會在興南華新路口拉轉，還會在派出所（興南南山路口）刻意拉轉，警察僅行政協助，無法實質告發噪音車輛，請問一下新北市環保局稽查人員都在那裡取締？數據？晚上不想定點稽查，請問有架設儀器拍攝嗎？興南路一段到興南路二段399巷沿線架設黃色看板的警示標語，只是做給市民看，但根本沒有用，每天都是吵到翻過來！有看到警員稽查，環保局呢？儀器呢？,1999市政信箱
113,11,113/11/06,永和區,夜間,永和區 保平路292巷 / 也希望能將292巷46弄等周邊巷,1,J241106-4382,保平路292巷46弄周邊住戶，長年以來飽受機車噪音痛苦，尤其是晚上到深夜，更是經常被疑似改裝的機車噪音給嚇醒，影響社區住戶安寧甚鉅。  多次反應，卻也從未見過夜間在此處有任何警監環執法，也沒有任何測速或聲音照相之類的設備在此執法。還請相關單位能確實瞭解此間居民的痛苦，並加強噪音機車的取締。  同時，基於噪音和安全考量，也希望能將292巷46弄等周邊巷弄導入「交通友善區，限速20公里/小時以下」，留給居民一個安全、安靜的生活環境。,1999市政信箱
113,11,113/11/06,板橋區,夜間,板橋區 文化路二段上介於市議會前面到雙十路 / 雖然在靠近華江橋,1,J241106-4365,文化路二段上介於市議會前面到雙十路這區間，晚上10點後經常聽到有改裝汽機車頻繁呼嘯行駛，引擎和排氣管引起的巨大噪音實在擾人清靜，雖然在靠近華江橋附近設有噪音科技執法，但顯然沒有幫助，請市長幫忙看看如何有效改善，還給市民一個好的居住環境，謝謝!,1999市政信箱
113,11,113/11/06,五股區,夜間,五股區 住在新城六路 / 這段,1,J241106-4039,我是剛新購屋的新北市民 剛搬到五股洲子洋重劃區將近兩個月了 住在新城六路上 這段時間發現附近的汽機車改裝車問題滿嚴重的 甚至是在深夜也相當擾人 這是我第一次買房 很期待能在這裡好好生活 希望政府相關單位能在新五路周邊加強取締 非常感謝,1999市政信箱
113,11,113/11/07,新店區,夜間,新店區 新店安坑祥和路,1,J241107-4571,新店安坑祥和路車流量大，車輛噪音污染嚴重。改裝汽車大型重型機車晚上噪音擾民，希望有關單位晚上能加強取締。,1999市政信箱
113,11,113/11/07,土城區,未註明,土城區 土城區中華路二段,1,H241107-2184,土城區中華路二段180號，該址每日23:00至00:00間，皆有改裝車於此試車，噪音擾鄰，請單位稽查。,1999市政信箱
113,11,113/11/07,板橋區,夜間,板橋區 實踐路27巷 / 實踐路,1,J241107-4301,實踐路27巷、實踐路上半夜1、2點還是持續有噪音車快速行駛，讓人無法入睡，上次寫市長信箱(J241011-4142)後還是未改善，一直都有半夜車輛快速行駛噪音，也未見有加派員警來巡邏，昨天晚上(11/6)更為誇張，晚上8、9點有十幾、二十位聚集在重慶路麥當勞前逗留且戴著相同白色安全帽的青少年引人注目，而半夜1、2點在實踐路上快速行駛發出噪音的也是載著相同安全帽的一批人，這條路都快變飆車聖地了嗎?  既然這段路無法設立噪音取締，我在此建議，(實踐路、實踐路27巷路口紅綠燈)半夜不要改成閃黃燈而是紅、綠燈切換，且(實踐路、實踐路27巷路口紅綠燈由實踐路27巷出來方向)的紅燈秒數要比(館前東路、實踐路路口紅綠燈由區運路接館前東路行駛方向)的紅指秒數長，這樣可以讓從區運路方向的來車不會為了不想停等(館前東路、實踐路交叉口紅綠燈)而貪快行駛館前東路156巷進而轉進實踐路27巷快速駛過製造小巷內噪音。  另外一併建議希望增加，在實踐路、實踐路65巷路口設定紅綠燈，且紅燈時間與(館前東路、實踐路路口紅綠燈)的紅燈時間交錯開來，這樣不會讓這整條路一路綠燈，飆車族也不會一路狂催油門，不然就是設立超速照相機在這路段上，讓他們減速。,1999市政信箱
113,11,113/11/07,土城區,夜間,土城區 土城區學成路與裕民路,1,H241107-2089,土城區學成路與裕民路口，經常從晚上21點至凌晨3、4點會有許多改裝汽機車傳出排氣管噪音，民眾曾報警，但員警告知這種案件太多了、無法逐一處理，故建議設置科技執法設備加以取締。,1999市政信箱
113,11,113/11/07,樹林區,夜間,樹林區 最近常有改造機車以及汽車機車半夜在此聚集以及飆車實在干擾,1,J241107-4039,最近常有改造機車以及汽車機車半夜在此聚集以及飆車實在干擾居民 就算請警方來他們看見就跑沒有用想請機關單位設個噪音臨檢因為他們隨時都有改裝車在三更半夜出沒實在造成我們睡眠以及身心健康有所傷害求相關機關處置 因我們也沒辦法來一輛車就報案一次就算警方來了他們早就跑走了希望可以配合警方攔截取締拜託盡快處裡謝謝您。,1999市政信箱
113,11,113/11/08,樹林區,未註明,樹林區 新北市樹林區三俊街 / 這裡整條街,1,J241108-4493,市長您好，我是居住在樹林區與新莊區交接處的居民。新北市樹林區三俊街 這裡整條街從早到晚很多改裝車經過，噪音非常嚴重，也有一些飆車族，希望能將噪音部分加以改善。 感謝您的閱覽。,1999市政信箱
113,11,113/11/08,新店區,夜間,新店區 五峰路63巷,1,J241108-4288,五峰路63巷，早上0600～0900點，晚上1800～2200，每日都有改裝機車長期噪音污染，噪音問題長久以來無人問津，是否加速設置監測系統，絕對能增加縣政收入並維護居民權益,1999市政信箱
113,11,113/11/08,板橋區,夜間,板橋區 板橋區華江一路 / 會有一輛改裝汽車會於此路段,1,H241108-2008,板橋區華江一路上，長期於凌晨00:00至01:00期間，會有一輛改裝汽車會於此路段呼嘯而過、嚴重造成擾鄰，11/8凌晨01:57左右也亦是如此，故請單位調閱華江一路上，分別交叉於華江五路、華江六路、華江九路的交叉路口監視器，確定車輛車牌並要求行為人驗車及改善。,1999市政信箱
113,11,113/11/09,汐止區,未註明,汐止區 汐止區莊敬街與青山路,1,H241109-2242,汐止區莊敬街與青山路口，時至11/09 21:49民眾表示有改裝引擎車輛於該處一帶循環行駛，時間已長達半小時，請單位派員改善。 (已於11/09 21:53通報警察局110李警官),1999市政信箱
113,11,113/11/10,板橋區,夜間,板橋區 1.殯儀館車隊敲鑼打鼓！喪事辦得跟喜事一樣！ 2.改裝汽,1,J241110-4099,1.殯儀館車隊敲鑼打鼓！喪事辦得跟喜事一樣！ 2.改裝汽車改裝機車噪音很嚴重！尤其晚上10點過後到半夜兩三點都有  希望能加裝科技執法！噪音超過多少分貝直接拍照之類的！之前有來測過噪音，但移除之後又來了！根本沒用！  請重視改裝與喪事噪音，拜託了謝謝,1999市政信箱
113,11,113/11/10,板橋區,未註明,板橋區 板橋區四川路二段99巷,1,H241110-2047,板橋區四川路二段99巷9號1樓，該址經常有機車改裝車行經，造成妨害安寧，建議單位設置科技執法取締。,1999市政信箱
113,11,113/11/10,三重區,未註明,三重區 三重區三和路四段 / 前方的道路,1,H241110-2010,三重區三和路四段216號「三和國中」前方的道路，經常02:00至03:00間有許多改裝機車來回行駛，製造聲響及噪音擾鄰，請相關單位加強取締。,1999市政信箱
113,11,113/11/10,永和區,夜間,永和區 我是新北永和居民，住家附近重機維修改裝店家 - 藝速重車,1,J241110-4166,我是新北永和居民，住家附近重機維修改裝店家 - 藝速重車 經常不分日夜有大量改裝車的排氣管維修噪音、或是維修後試車噪音，讓人苦不甚擾，更常有在深夜11、12點製造排氣管噪音。 相信這樣的陳情案件很多，但店家根本無改善。 因此懇請市長發揮公權力幫我們這個區域恢復寧靜 在此建議有二： 1. 可否規勸店家並強制改善 2. 增設噪音偵測監視器舉發之類的科技執法，讓發出巨大噪音的改車試車人能夠得到警惕,1999市政信箱
113,11,113/11/11,板橋區,夜間,板橋區 板橋 / 萬安街,1,J241111-4479,板橋區 萬安街 本人住家附近（萬安街）近期有一機車，幾乎每日晚間皆會於附近繞行，故意製造非常大聲之噪音，甚至有曾經於半夜發生，已困擾本人及家人許久，希望相關單位能協助處理。,1999市政信箱
113,11,113/11/11,五股區,未註明,五股區 五股區登林路段,1,J241111-4255,五股區登林路段經常有排氣管改裝車輛通行，嚴重影響生活品質外，也造成交通安全隱憂。 希望市府能加強取締，並加裝噪音偵測系統。 謝謝。,1999市政信箱
113,11,113/11/13,中和區,未註明,中和區 中和區壽德街與華順街,1,H241113-2356,中和區壽德街與華順街口，該址長期於晚間23時許有改裝車行經致噪音擾鄰，故請單位加強取締。,1999市政信箱
113,11,113/11/13,中和區,夜間,中和區 之前的陳情案，不知道是承辦人員看不懂還是如何，我是問環保,1,J241113-4277,之前的陳情案，不知道是承辦人員看不懂還是如何，我是問環保局有無明確改善方案，結果又丟給警察，我已經在文中打上，警察僅提供行政協助，主管機關是環保局，環保局有給實質解決方案嗎？113年至10月，取締件數183件，一個月平均18件，一個月四個禮拜，8天假日，平均一個假日取締2台。環保稽查員真好做，晚上的取締都丟給警察？取締件數全台第一？增加移動式取締與科技執法，我想只是增加許多黃色警示標語而已，有真的取締，把這取締數字公審，只是看到市政府成效不彰而已,1999市政信箱
113,11,113/11/13,新莊區,夜間,新莊區 裕民街 / 行經裕民國小前之直線路段,1,J241113-4567,新莊區 裕民街123號 晚間約8點過後至凌晨深夜，行經裕民國小前之直線路段，因許多改管摩托車會高速通過其直線路段，其噪音疑似改管過於大聲且不符合規定，希望可以嚴加管制。,1999市政信箱
113,11,113/11/14,三重區,夜間,三重區 疏洪西路 / 每天凌晨三點至四點興德路,1,J241114-4495,三重區 疏洪西路 每天凌晨三點至四點興德路、疏洪西路、疏洪十六路沿路飆車族、賽車族飛嘨行駛，噪音實在非常吵雜影響住戶睡眠，這應該是警察展現公權力最好的時機不是嗎？,1999市政信箱
113,11,113/11/14,林口區,未註明,林口區 民族路與仁愛二路路 / 請問貴單位是幾點來勘察此路,1,J241114-4461,林口區 民族路與仁愛二路路口 請問貴單位是幾點來勘察此路口有無尖離峰之分的呢？白天上班民族路已經塞車到忠孝路了，請不要未經勘查就判斷路口單純，此路口常有駕駛無法即使判斷是否可直行或右轉，造成後方車輛鳴按喇叭催促，已造成交通堵塞與噪音污染，請來實地勘察並改善交通問題。,1999市政信箱
113,11,113/11/14,三重區,夜間,三重區 日夜囂張在新北市街 / 本人住三重區過圳街,1,J241114-4243,最近一年.汽機車違法改裝車變多.日夜囂張在新北市街道叭叭走.本人住三重區過圳街公寓緊鄰三重分局.#請侯市長重視日益嚴重吵死人噪音.這些囂張汽機車改裝車.都沒有人負責取締移送法辦嗎？侯市長您住家都沒有聽到改裝車製造嗡嗡巨大砲聲嗎？桃園市市長已把改裝汽機車巨大噪音.列為重大治安專案取締處理(環保局+交通大隊).請侯市長給新北市市民安靜生活空間.【汽機車改裝車嗡嗡巨大噪音.半夜被驚醒恐懼.令人憤怒】,1999市政信箱
113,11,113/11/14,淡水區,未註明,淡水區 淡水區學府路,1,H241114-2004,淡水區學府路128號，該址長期於晚間23時許有改裝車行經致噪音擾鄰，故請單位加強取締。,1999市政信箱
113,11,113/11/14,三重區,夜間,三重區 三重區重新路五段 / 重新橋,1,H241113-2358,三重區重新路五段(重新橋)，由「二重派出所」前到重新路五段與化成路口，上址長期於晚間23時以後，到隔日凌晨2、3時有車輛超速行駛噪音問題，故建議單位設置聲音照相科技執法，並加強取締超速車，以還居民安寧。,1999市政信箱
113,11,113/11/15,淡水區,未註明,淡水區 淡水區淡海路與觀海路,1,H241115-2387,淡水區淡海路與觀海路口，該址周邊經常於晚間23:00後(尤以週五六日為甚)有改裝車飆車致噪音擾鄰，故請單位設置攔檢站以加強取締。,1999市政信箱
113,11,113/11/15,泰山區,未註明,泰山區 泰山區仁義路與中港西路 / 00時段,1,H241115-2381,泰山區仁義路與中港西路口，該址每晚22:00至00:00時段，會有改裝汽機車行駛噪音致妨害安寧，故請單位於上述時間派員加強取締。,1999市政信箱
113,11,113/11/15,淡水區,夜間,淡水區 新市三路二段,1,J241115-4469,淡水區 新市三路二段259號24樓 淡海新市鎮這帶只要到了晚上，便會聽見許多改管車的聲音，凌晨也會被吵醒。煩請加大力度取締。,1999市政信箱
113,11,113/11/15,五股區,未註明,五股區 五股區芳洲路沿線,1,H241115-2164,五股區芳洲路沿線，近日約於22:00之後，會有改裝汽車行經，駕駛重踩油門產生噪音，影響附近住戶安寧，請單位加強派員稽查，並建議單位於該處加裝噪音檢視器。,1999市政信箱
113,11,113/11/15,板橋區,未註明,板橋區 板橋區四川路二段117巷 / 該址巷,1,H241115-2118,板橋區四川路二段117巷，該址巷弄經常有改裝機車行駛擾鄰，建議單位增設科技執法設備取締。,1999市政信箱
113,11,113/11/15,板橋區,夜間,板橋區 用路,1,J241115-4006,江子翠橫移門內、河濱公園內，江子翠第二溜冰場旁的貨櫃屋：昔日咖啡，用地圖就可搜尋到位置，長期聚集大量重機在此聚會、在河堤內飆車，長期下來影響睡眠品質和精神狀態，除了早上飆車翹孤輪影響自行車、用路人安全，好幾次凌晨十二點一點也還在催油門飆車，持續一小時以上，請員警勸導才離去，我相信不只有我們有這樣的困擾，有一次打去派出所請員警幫忙，他們也說已經很多人反應了，會去處理。 是不是該設一個巡邏站點，尤其晚上加強巡邏和驅趕，現在精神病患已經很多了，不要讓這種煩人的噪音造成更多人躁鬱症、憂鬱症。 還是在此處攔截，設立開罰站點，用儀器測量改管、噪音過大的車，相信業績會不錯的。,1999市政信箱
113,11,113/11/16,新莊區,未註明,新莊區 新莊區青山路一段,1,H241116-2249,新莊區青山路一段54號，該址一帶於晚間22時到24時，經常有改裝車行駛噪音問題，故請單位研議設置科技執法以利取締。,1999市政信箱
113,11,113/11/16,中和區,夜間,中和區 我住在興南路南山路 / 3點經常就有排氣管改裝的機車在以上路,1,J241116-4216,"市長您好：我住在興南路南山路口已有好幾年了，每逢假日深夜2~3點經常就有排氣管改裝的機車在以上路口呼嘯而過，而且就选在南勢角派出所面前,催油門加速發出極大的噪音，經常讓我們在半夜中驚醒久久無法入眠，且挑釁的意味十足，簡直視警察於無物。懇請市長指示相關單位嚴加取締，還給市民寧靜的居家生活及睡眠品質。",1999市政信箱
113,11,113/11/16,土城區,夜間,土城區 有關土城區中華路二段,1,H241116-2170,民眾曾反映H241107-2184，有關土城區中華路二段180號，該址每日23:00至00:00間，皆有改裝車於此試車，噪音擾鄰一案，民眾表示11/15 23:50左右又被改裝車噪音吵醒，附近居民也都被吵醒，此況造成居民備受困擾，也無法好好休息，請單位查處及研議改善方式，另建議單位於每天晚間22:00至隔天凌晨04:00間於周邊增派警力加強巡邏取締。,1999市政信箱
113,11,113/11/16,中和區,未註明,中和區 中和區圓通路,1,H241116-2167,中和區圓通路391號至459號，該址長期21:00至24:00，不定時會有改裝後的汽、機車行經，行經時會加速產生過大的排氣管噪音擾鄰，另民眾近期有看到兩台車噪音車行經時，疑似為假車牌，但因民眾沒有拍照無法確認，希望單位若有攔查到改裝排氣管車輛時一併確認。,1999市政信箱
113,11,113/11/16,三峽區,未註明,三峽區 三峽區台7乙線 / 8K處路段,1,H241116-2142,三峽區台7乙線7.7K到8.8K處路段，全天候都有改裝機車來回飊車，引擎聲太吵已妨礙附近住戶，要求單位依法稽查。,1999市政信箱
113,11,113/11/16,土城區,未註明,土城區 土城區學成路,1,H241116-2019,土城區學成路57號，該址附近經常於晚間19:00後，有改裝排氣管的汽、機車行駛噪音擾鄰，故請單位設置攔檢站以利加強取締。,1999市政信箱
113,11,113/11/17,泰山區,夜間,泰山區 有關泰山區泰山路 / 近期接近假日時段,1,J241117-4308,有關泰山區泰山路往林口方向一帶住戶反應，近期接近假日時段經常性於凌晨5點左右會有多輛機汽車行經，此車輛疑改造排氣管造成聲音過大，影響住戶睡眠以及嚇到小朋友...等情形。 1.據民眾表示警方曾於泰山路&泰林路做稽查勤務，但前方攔下後則通風報信給後方同夥車友，並躲於泰山路111號（囿隆工業公司），再違規雙黃線迴轉躲避稽查，如附件一 2.附件二，圖片中紅色是聚集地，藍色是飆車的路線其實就一直直線來回，黃色是有警車來，躲警察的路線，民眾另表示，打電話至泰山林口分局 第一通剛開口說泰山路，警方直接回已收到通報，已有派員前去去，民眾等了20分鐘都沒有看到員警前來，再致電第二通，跟民眾說現場查無噪音車及人車聚集，過5分鐘，一輛警車才來，但對方早已鳥獸散，請警員應落實報案查看流程以及時效性，切勿以呼攏方式回覆民眾已有至現場查看情形，草草結案。 3.附近三影片為忠孝街19巷，當時車隊情形以及聲響問題。 綜合以上問題，請警方與環保局聯合稽查，並於接近清晨5點架設稽查站於泰山路111號前，或是忠孝街19巷做稽查，避免再讓噪音車有機會調頭逃跑，若違規為學生於稽查時因另註記並且通報學校，也請環保局於該路段假設臨時噪音照相科技執法，並發文於鄰近學校，請校方多加宣導改車以及合法性，致社區夜間安寧。 請相關單位提出一個月內稽查改善辦法及時間，將通知民眾屆時監督稽查改善狀況，感謝您,1999市政信箱
113,11,113/11/17,新莊區,夜間,新莊區 新莊區新北大道七段及天祥街92巷,1,H241117-2054,新莊區新北大道七段及天祥街92巷，該處夜間經常有排氣管改裝車噪音、影響睡眠，故請單位勘查設置科技執法設備，以解決噪音問題。,1999市政信箱
113,11,113/11/17,泰山區,夜間,泰山區 泰山區大科路 / 故請單位於上述時段,1,H241117-2004,泰山區大科路，位於黎民技術學院附近、泰山往五股方向，近日於凌晨04:00許至05:00許期間會有改裝車輛行駛、影響鄰近住戶安寧，故請單位於上述時段設置攔檢站稽查，或評估設置聲音照相測速儀器。,1999市政信箱
113,11,113/11/18,板橋區,下午,板橋區 板橋區忠孝路214號該處路段,1,J241118-4496,板橋區忠孝路214號該處路段常有噪音機車經過（尤其是平日下午4時50分） 請環保局設點稽查,1999市政信箱
113,11,113/11/18,板橋區,夜間,板橋區 尤其環河西路四段和華江六路,1,B241117-0004,這邊常常有改裝車輛在半夜的時候飆車，造成晚上無法入睡。 尤其環河西路四段和華江六路交叉口這邊，因為有紅綠燈，所以汽機車起步時的噪音更明顯。 現在江翠北側居民越來越多，因此有越來越多人被噪音干擾。 希望政府可以在這邊安裝聲音照相機，讓居民半夜可以好好入眠。,1999市政信箱
113,11,113/11/18,中和區,未註明,中和區 連城路 / 沿路,1,B241115-0004,"連城路中和高中一帶, 常有改裝車輛的聲響, 排氣管聲音極度大聲, 另外還有部分改裝喇叭, 沿路長按喇叭, 希望此路段能加強臨檢",1999市政信箱
113,11,113/11/18,新莊區,夜間,新莊區 我想向貴單位反映有關新莊區中和街 / 這些人騎改裝噪音車在周邊道路,1,J241118-4025,我想向貴單位反映有關新莊區中和街全家便利商店中環店，夜晚員工的擾民問題，希望能引起重視並協助改善。  在凌晨12點至早上6點期間，我多次發現該店的夜班員工及其友人在店門口聚集。他們蹲坐在便利商店門口抽菸、嚼檳榔，大聲喧嘩，對附近居民造成困擾。此外，這些人騎改裝噪音車在周邊道路飆車，並頻繁按喇叭，嚴重干擾了當地居民的夜間生活安寧。  上述行為不僅影響公共秩序，也破壞了該地區的生活環境品質。我懇請新北市政府相關單位能加強該地區的巡查，並督促相關店家改善管理，以維護居民的生活安全與舒適。  謝謝您對此問題的重視，盼望能早日見到改善的行動。,1999市政信箱
113,11,113/11/19,三重區,未註明,三重區 三重區仁愛街與自強路四段 / 約持續20至30分鐘於上述雙向路段,1,H241119-2288,三重區仁愛街與自強路四段交叉口，於每天02:00至03:00間，有1輛汽車改裝車(車號不詳)約持續20至30分鐘於上述雙向路段繞圈行駛致傳出改裝車引擎噪音擾鄰，請轄區員警於上述時段加強巡邏取締並開罰。,1999市政信箱
113,11,113/11/20,其他區,未註明,其他區 .2.排氣管噪音要加重刑責罰則要修法要加重26000到4,1,J241120-4475,.2.排氣管噪音要加重刑責罰則要修法要加重26000到48000罰則連續法。,1999市政信箱
113,11,113/11/20,中和區,下午,中和區 環保員告知興南路沿線 / 我確定華中橋,1,J241120-4335,經11/29下午16時許回電，環保員告知興南路沿線皆有24小時舉發之噪音儀器，經查明後只有移動式科技執法儀器，哪來的24小時告發？請用電子郵件回電，致電回覆完全沒有實質幫助，我確定華中橋上有24小時，興南路我只看過移動式儀器，不知道環保員在呼攏在地居民嗎？,1999市政信箱
113,11,113/11/20,淡水區,夜間,淡水區 中山北路一段 / 二段,1,J241120-4165,淡水區 中山北路一段、二段 改裝汽機車不論白天黑夜呼嘯而過，高頻噪音擾人清淨，請相關單位加強取締。,1999市政信箱
113,11,113/11/21,三重區,夜間,三重區 重自強路四段與三和路口本路段 / 每至夜晚就不斷有改裝車經過炸街,1,J241121-4482,重自強路四段與三和路口本路段長年夜間噪音車輛擾人，每至夜晚就不斷有改裝車經過炸街。數日前新聞有報導新北警與環保局聯手取締噪音車輛，可否請市長責令安排數日前來上開路段設置檢查哨? 感激不盡。 ps請不用再提統計數字，整個三重就算取締一百萬件，我們的生活與痛苦依然沒改善啊。(112年投書字號-J230402-4004，結果也是沒有任何一天曾經改善過),1999市政信箱
113,11,113/11/22,永和區,未註明,永和區 因為住家在永和中正路 / 福和路,1,J241122-4374,因為住家在永和中正路 福和路口。北95鄉道上…… 由於是重要幹道 車輛往來頻繁 數十年來 因為車速過快，導致嚴重車禍頻繁……而許多駕駛人常 亂長鳴喇叭造成噪音困擾。 誠摯建議在此路口 設立 超速照相與 噪音偵測！ 期望能讓用路人與附近住戶 能有安全 安靜的生活品質。 不勝感激。。。,1999市政信箱
113,11,113/11/22,蘆洲區,夜間,蘆洲區 蘆洲區民權路,1,J241122-4203,蘆洲區民權路仁愛廣場附近，每天夜間10點以後。 陸續有汽車機車改裝排氣管的車輛 不知是否有處置方式? 另外蘆洲區是否有建制 噪音車科技執法? 謝謝,1999市政信箱
